snp-dists 0.6.3,2009_36,BA2175,BA5274,BA8206,BA8217,BA8315,BA8325,BA8327,BA8618,BA8663,BA9049,BA9272,BA9321,BA9326,BA9328,BA9381,BA9437,BA9712,BA9739,BA9751,BA9752,CA0053,CA0067,CA0076,CA0077,CA0100,CA0101,CA0102,CA0103,CA0115,CA0117,CA0122,CA0125,CA0135,CA0139,CA0141,CA0833,CA0873,CA0878,CA0883,CA0885,CA0909,CA0910,CA0912,CA0925,CA0926,CA0927,CA1310,CA4383,CA4403,CA4405,CA4465,DA2215,DA2290,DA3592,DA3741,DA3769,DA4589,DA4592,DA4594,DA4618,DA4619,DA4621,DA4624,DA4626,DA4632,DA4642,DA4643,DA4649,DA4650,DA4655,DA4809,DA5291,DA9429,EA0976,EA2246,EA2892,EA3951,EA4711,EA4737,F2_14D,FA9052,FA9055,FA9057,FA9058,FA9061,FA9063,FA9064,FA9065,FA9067,FA9074,FA9085,FA9092,FA9097,FA9098,FA9107,FA9110,FA9114,FA9118,FA9120,FA9124,FA9125,FA9126,FA9130,FA9131,FA9134,FA9136,FA9137,FA9143,FA9148,FA9149,FA9152,FA9160,FA9950,FA9952,GA3026,GA6612,GA6622,GA6630,GA6631,GA6643,GA6645,GA6646,GA6791,GA8084,HA0015,HA0017,HA0071,HA3119,HA7251,HA7630,HA7663,HA9360,HA9399,HA9450,HA9520,HA9631,IA0869,IA0983,IA1829,IA2820,IA3637,IA3885,IA4037,IA4046,IA4053,IA4072,IA4090,IA4093,IA4095,IA4127,IA4128,IA4131,IA4141,IA4156,IA4159,IA4417,IA6627,IA6645,IA7281,IA8900,IA9379,JA3253,JA4514,JA5749,JA7896,JA8189,JA8190,JA8241,JA8252,JA8266,JA8320,JA8385,JA8469,KA1772,KA1794,KA1850,KA1851,KA1855,KA3718,KA3808,KA3838,KA3859,KA3870,KA3909,KA3977,KA3983,KA4015,KA4076,KA4140,KA4205,KA4213,KA4242,KA4253,KA4309,KA4331,KA4334,KA4355,KA4595,KA4627,KA4871,KA5027,KA5737,KA5738,KA9540,LA0853,LA0995,LA1141,LA1145,LA1148,LA3619,LA3621,LA3622,LA3663,LA3664,LA3674,LA5125,LA5503,LA5585,LA7429,LA8319,LA8327,LA8340,LA8344,LA8346,LA8355,LA8360,LA8364,LA8371,LA8375,LA8377,LA8390,LA8392,LA8404,LA8411,LA8416,LA8424,LA8426,LA8428,LA8430,LA8434,LA8440,LA8441,LA8442,LA8445,LA8446,LA8448,LA8456,LA8457,LA8472,LA8475,LA8478,LA8483,LA8484,LA8485,LA8488,LA8498,LA8500,LA8507,LA8511,LA8515,LA8519,MA0016,MA0187,MA0279,MA0428,MA0476,MA0512,MA0520,MA1021,MA1055,MA1299,MA1951,MA3056,MA3100,MA3107,MA3136,MA3161,MA3646,MA5127,MA5807,MA5825,Reference
BA9049,63,51,53,60,68,72,62,57,53,86,0,57,48,47,55,59,56,74,67,48,65,48,58,70,61,71,65,69,78,76,76,69,75,52,66,60,76,76,46,65,62,54,62,57,52,51,65,59,81,65,74,74,62,59,59,59,53,77,54,70,61,58,59,58,58,74,51,66,56,58,47,57,52,71,55,52,81,70,57,60,63,63,48,52,47,50,48,53,60,44,61,72,58,52,46,75,78,43,96,53,73,56,70,75,52,48,57,53,49,54,50,47,61,71,65,64,71,61,53,57,63,62,64,72,79,75,74,57,75,76,77,74,60,58,67,66,73,62,69,58,52,57,71,65,59,58,32,55,63,57,71,68,56,70,81,69,61,74,61,60,59,67,69,67,52,67,68,68,77,67,76,70,74,76,59,58,58,57,58,61,78,84,77,60,65,81,83,66,57,67,90,55,84,85,56,61,87,80,54,52,60,58,69,75,55,71,64,60,54,54,57,54,57,50,52,66,81,65,69,60,86,66,56,60,85,65,55,55,55,55,68,51,43,56,50,61,89,55,65,48,68,56,57,58,64,56,62,87,59,67,61,55,54,55,56,56,81,69,64,50,51,51,50,81,57,59,66,54,65,49,72,96,52,56,82,60,55,57,61,68,70,54,62
BA9272,44,32,24,39,47,51,41,36,34,67,57,0,29,28,28,32,37,55,48,27,46,27,25,43,34,44,38,42,49,71,71,42,70,31,37,31,49,57,17,46,35,25,43,28,31,22,44,40,62,46,47,53,35,30,38,38,32,50,27,51,32,29,40,31,29,55,32,61,27,29,28,30,33,52,34,31,60,49,38,31,44,42,27,23,26,29,27,32,41,23,42,67,39,31,25,54,57,22,77,68,68,37,43,54,31,27,36,32,28,35,31,28,42,50,44,43,44,40,32,36,44,43,35,53,58,54,53,36,54,57,56,53,33,29,46,39,52,41,50,39,31,38,52,44,38,39,55,34,42,36,50,47,35,49,60,48,40,53,40,39,30,48,50,48,31,48,49,49,58,48,49,51,53,55,30,29,29,28,29,40,57,63,56,39,46,60,62,47,36,48,69,36,63,64,37,40,66,59,33,31,41,39,50,54,34,52,45,41,35,35,36,25,28,21,23,37,60,46,50,39,67,45,35,39,66,44,36,34,34,36,47,32,24,35,31,32,70,34,46,27,47,35,36,37,35,37,33,66,30,48,40,36,25,36,35,37,62,50,35,29,30,30,31,60,38,40,45,35,46,30,53,77,67,37,61,41,34,36,40,47,51,35,43
BA9321,27,15,25,32,40,44,34,29,17,56,48,29,0,11,27,31,20,42,35,20,33,20,30,42,33,43,37,41,50,62,62,41,61,24,38,32,48,46,18,35,34,26,34,29,24,23,37,23,53,29,46,46,34,31,31,31,25,49,26,34,33,30,23,30,30,44,15,52,28,30,11,29,16,39,27,24,53,42,21,32,27,35,20,24,19,22,20,25,28,16,29,58,26,24,18,47,50,15,64,59,59,20,42,47,24,20,29,25,21,18,14,11,29,43,37,36,43,33,25,29,35,34,36,42,51,47,46,29,47,46,49,46,32,30,39,38,45,34,39,22,24,21,39,37,31,22,46,27,35,29,43,40,28,42,53,41,33,46,33,32,31,31,33,31,24,37,40,40,49,39,48,42,46,48,31,30,30,29,30,33,50,56,49,32,29,53,55,38,29,37,62,19,56,57,20,33,59,52,26,24,24,22,33,47,27,35,28,24,18,18,29,26,29,22,24,38,53,37,39,32,56,38,28,32,55,37,19,27,27,19,40,15,7,28,14,33,61,27,35,20,40,28,29,30,36,26,34,59,31,37,33,19,26,19,28,20,51,33,36,22,23,23,14,53,21,23,38,18,35,13,42,66,58,20,54,24,27,29,33,40,42,18,34
BA9326,26,10,24,31,39,43,33,28,16,55,47,28,11,0,26,30,19,41,34,19,32,19,29,41,32,42,36,40,49,61,61,40,60,23,37,31,47,45,17,34,33,25,33,28,23,22,36,22,52,28,45,45,33,30,30,30,24,48,25,33,32,29,22,29,29,43,10,51,27,29,10,28,15,38,26,23,52,41,20,31,26,34,19,23,18,21,19,24,27,15,28,57,25,23,17,46,49,14,63,58,58,19,41,46,23,19,28,24,20,17,13,10,28,42,36,35,42,32,24,28,34,33,35,41,50,46,45,28,46,45,48,45,31,29,38,37,44,33,38,21,23,20,38,36,30,21,45,26,34,28,42,39,27,41,52,40,32,45,32,31,30,30,32,30,23,36,39,39,48,38,47,41,45,47,30,29,29,28,29,32,49,55,48,31,28,52,54,37,28,36,61,18,55,56,19,32,58,51,25,23,23,21,32,46,26,34,27,23,17,17,28,25,28,21,23,37,52,36,38,31,55,37,27,31,54,36,18,26,26,18,39,14,6,27,13,32,60,26,34,19,39,27,28,29,35,25,33,58,30,36,32,18,25,18,27,19,50,32,35,21,22,22,13,52,20,22,37,17,34,12,41,65,57,19,53,23,26,28,32,39,41,17,33
BA9328,42,30,24,37,45,49,39,34,32,65,55,28,27,26,0,30,35,53,46,25,44,25,29,41,32,32,26,40,49,69,69,30,68,29,37,31,47,55,17,44,23,25,41,28,29,22,42,38,60,44,35,51,23,30,36,36,30,48,25,49,32,29,38,19,29,53,30,59,27,29,26,28,31,50,32,29,58,47,36,31,42,40,25,23,24,27,25,30,39,21,40,65,37,29,23,52,55,20,75,66,66,35,31,52,29,25,34,30,26,33,29,26,40,48,42,41,32,38,30,34,42,41,35,51,56,52,51,34,52,55,54,51,31,29,44,27,50,39,48,37,29,36,50,42,36,37,53,32,40,34,48,45,33,47,58,46,38,51,38,37,30,46,48,46,29,46,47,47,56,46,47,49,51,53,30,29,29,28,29,38,55,61,54,37,44,58,60,45,34,46,67,34,61,62,35,38,64,57,31,29,39,37,48,52,32,50,43,39,33,33,34,25,28,21,23,37,58,44,48,37,65,43,33,37,64,42,34,32,32,34,45,30,22,33,29,32,68,32,44,25,45,33,34,35,35,35,33,64,30,46,38,34,25,34,33,35,60,48,35,27,28,28,29,58,36,38,43,33,44,28,51,75,65,35,59,39,32,34,38,45,49,33,41
BA9381,46,34,28,41,49,53,43,38,36,69,59,32,31,30,30,0,39,57,50,29,48,29,33,35,26,46,40,44,53,73,73,44,72,33,41,35,41,59,21,48,37,29,45,32,33,26,46,42,64,48,49,55,37,34,40,40,34,52,25,53,36,33,42,33,33,57,34,63,31,33,30,32,35,54,36,33,62,51,40,35,46,44,29,27,28,31,29,34,43,25,44,69,41,33,27,56,59,24,79,70,70,39,45,56,33,29,38,34,30,37,33,30,44,52,46,45,46,42,34,38,46,45,39,55,60,56,55,38,56,59,58,55,35,33,48,41,54,43,52,41,33,40,54,46,40,41,57,36,44,38,52,49,37,51,62,50,42,55,42,41,34,50,52,50,33,50,51,51,60,50,51,53,55,57,34,33,33,32,33,42,59,65,58,41,48,62,64,49,38,50,71,38,65,66,39,42,68,61,35,33,43,41,52,56,36,54,47,43,37,37,38,29,32,25,27,41,62,48,52,41,69,47,37,41,68,46,38,36,36,38,49,34,26,37,33,36,72,36,48,29,49,37,38,39,39,39,37,68,34,50,42,38,29,38,37,39,64,52,39,31,32,32,33,62,40,42,47,37,48,32,55,79,69,39,63,43,36,38,42,49,53,37,45
BA9437,35,23,33,40,48,52,42,37,25,64,56,37,20,19,35,39,0,50,43,28,41,28,38,50,41,51,45,49,58,70,70,49,69,32,46,40,56,54,26,43,42,34,42,37,32,31,45,27,61,37,54,54,42,39,39,39,33,57,34,42,41,38,31,38,38,52,23,60,36,38,19,37,24,47,35,32,61,50,29,40,35,43,28,32,27,30,28,33,36,24,37,66,34,32,26,55,58,23,72,67,67,26,50,55,32,28,37,33,29,26,20,19,37,51,45,44,51,41,33,37,43,42,44,50,59,55,54,37,55,54,57,54,40,38,47,46,53,42,47,30,32,29,47,45,39,22,54,35,43,37,51,48,36,50,61,49,41,54,41,40,39,39,41,39,32,45,48,48,57,47,56,50,54,56,39,38,38,37,38,41,58,64,57,40,37,61,63,46,37,45,70,27,64,65,28,41,67,60,34,32,32,30,41,55,35,43,36,32,26,26,37,34,37,30,32,46,61,45,47,40,64,46,36,40,63,45,27,35,35,27,48,23,15,36,22,41,69,35,43,28,48,36,37,38,44,34,42,67,39,45,41,27,34,27,36,28,59,41,44,30,31,31,22,61,29,31,46,26,43,21,50,74,66,28,62,32,35,37,41,48,50,26,42
BA9712,57,45,51,58,66,70,60,55,47,82,74,55,42,41,53,57,50,0,61,46,59,46,56,68,59,69,63,67,76,88,88,67,87,50,64,58,74,72,44,61,60,52,60,55,50,49,63,53,79,59,72,72,60,57,57,57,51,75,52,64,59,56,53,56,56,70,45,78,54,56,41,55,46,63,53,50,79,68,51,58,57,61,46,50,45,48,46,51,54,42,55,84,52,50,44,73,76,41,90,85,85,50,68,73,50,46,55,51,47,48,44,41,55,69,63,62,69,59,51,55,61,60,62,68,77,73,72,55,73,72,75,72,58,56,65,64,71,60,65,52,50,51,65,63,57,52,72,53,61,55,69,66,54,68,79,67,59,72,59,58,57,61,63,61,50,63,66,66,75,65,74,68,72,74,57,56,56,55,56,59,76,82,75,58,59,79,81,64,55,63,88,49,82,83,50,59,85,78,52,50,54,52,63,73,53,65,58,54,48,48,55,52,55,48,50,64,79,63,65,58,82,64,54,58,81,63,49,53,53,49,66,45,37,54,44,59,87,53,61,46,66,54,55,56,62,52,60,85,57,63,59,49,52,49,54,50,77,63,62,48,49,49,44,79,51,53,64,48,61,43,68,92,84,50,80,54,53,55,59,66,68,48,60
BA9739,50,38,44,51,59,63,53,48,40,75,67,48,35,34,46,50,43,61,0,39,52,39,49,61,52,62,56,60,69,81,81,60,76,43,57,51,67,65,37,54,53,45,53,48,43,42,56,46,72,52,65,65,53,50,50,50,44,68,45,57,52,49,46,49,49,63,38,71,47,49,34,48,39,58,46,43,72,61,44,51,50,54,39,43,38,41,39,44,47,35,40,77,45,43,37,66,69,34,83,78,78,43,61,66,43,39,48,44,40,41,37,34,40,62,56,55,62,52,44,48,54,53,55,61,70,66,65,48,66,65,68,65,51,49,58,57,64,53,58,45,43,44,58,56,50,45,65,46,54,48,62,59,47,61,72,60,52,65,52,51,50,54,56,54,43,56,59,59,68,58,67,61,65,67,50,49,49,48,49,52,69,75,68,51,52,72,74,57,48,56,81,42,75,76,43,52,78,71,45,43,47,45,56,66,46,58,51,47,41,41,48,45,48,41,43,57,72,56,58,51,75,57,47,51,74,56,42,46,46,42,59,38,30,47,37,52,80,46,54,39,59,47,48,49,55,45,53,78,50,56,52,42,45,42,47,43,70,56,55,41,42,42,37,72,44,46,57,41,54,36,61,85,77,43,73,47,46,48,52,59,61,41,53
BA9751,35,23,23,22,30,34,24,19,25,58,48,27,20,19,25,29,28,46,39,0,37,10,28,40,31,41,35,39,48,62,62,39,61,14,36,30,46,48,16,37,32,24,34,27,22,21,35,31,53,37,44,44,32,29,21,21,15,47,24,42,31,28,31,28,28,46,23,52,26,28,19,27,24,43,17,14,51,32,29,30,35,25,10,22,9,12,10,15,32,6,33,58,30,6,8,45,48,5,68,59,59,28,40,45,14,10,11,11,11,26,22,19,33,41,35,26,41,23,15,19,35,34,34,44,49,37,36,19,37,48,39,36,30,28,29,36,43,24,41,30,14,29,43,27,17,30,46,13,25,15,33,30,14,32,43,31,29,44,31,30,29,39,41,39,14,39,40,40,49,39,46,42,36,38,29,28,28,27,28,23,46,52,45,22,37,49,51,38,19,39,52,27,52,53,28,23,57,48,24,22,32,30,41,37,17,43,36,32,26,26,27,24,27,20,22,36,51,37,41,30,58,28,18,22,57,27,27,17,17,27,30,23,15,18,22,31,61,17,37,10,30,18,19,20,34,28,32,57,29,39,23,27,24,27,18,28,53,41,34,18,19,19,22,51,29,31,28,26,37,21,44,68,58,28,52,32,23,15,23,30,42,26,34
BA9752,48,36,42,49,57,61,51,46,38,73,65,46,33,32,44,48,41,59,52,37,0,37,47,59,50,60,54,58,67,79,79,58,78,41,55,49,65,63,35,52,51,43,51,46,41,40,54,44,70,50,63,63,51,48,48,48,42,66,43,55,50,47,44,47,47,61,36,69,45,47,32,46,37,56,44,41,70,59,42,49,48,52,37,41,36,39,37,42,37,33,46,75,43,41,35,64,67,32,81,76,76,41,59,64,41,37,46,42,38,39,35,32,46,60,54,53,60,50,42,46,52,51,53,59,68,64,63,46,64,63,66,63,49,47,56,55,62,51,56,43,41,42,56,54,48,43,63,44,52,46,60,57,45,59,70,58,50,63,50,49,48,52,54,52,41,54,57,57,66,56,65,59,63,65,48,47,47,46,47,50,67,73,66,49,50,70,72,55,46,54,79,40,73,74,41,50,76,69,43,41,45,43,54,64,44,56,49,45,39,39,46,43,46,39,41,55,70,54,56,49,73,55,45,49,72,54,40,44,44,40,57,36,28,45,35,50,78,44,52,37,57,45,46,47,53,43,51,76,48,54,50,40,43,40,45,41,68,54,53,39,40,40,35,70,42,44,55,39,52,34,59,83,75,41,71,45,44,46,50,57,59,39,51
CA0053,35,23,23,22,30,34,24,19,25,58,48,27,20,19,25,29,28,46,39,10,37,0,28,40,31,41,35,39,48,60,60,39,59,12,36,30,46,48,16,37,32,24,34,27,22,21,35,31,51,35,44,42,32,29,21,21,13,47,24,40,31,28,31,28,28,46,23,52,26,28,19,27,22,43,17,14,51,30,29,30,35,23,10,22,9,10,10,13,32,6,33,56,28,12,8,45,48,5,68,59,57,28,40,45,14,10,17,13,11,26,22,19,33,41,35,26,41,21,15,17,35,34,34,44,49,35,34,17,35,48,39,36,30,28,29,36,41,24,41,30,14,29,43,25,19,28,46,15,23,17,31,28,16,30,41,29,29,44,31,30,29,39,41,39,14,39,38,38,47,37,46,40,34,36,29,28,28,27,28,23,46,52,45,22,37,49,51,38,19,39,52,27,52,53,28,23,57,48,24,22,32,30,41,35,17,43,36,32,26,26,27,24,27,20,22,36,51,37,41,30,58,28,18,22,57,27,27,17,17,27,30,23,15,18,22,31,61,17,37,10,30,18,19,20,34,28,32,57,29,39,23,27,24,27,18,28,53,41,34,18,17,17,22,51,29,31,28,26,37,21,44,68,58,28,52,32,23,17,23,30,42,26,34
CA0067,45,33,25,40,48,52,42,37,35,68,58,25,30,29,29,33,38,56,49,28,47,28,0,44,35,45,39,43,50,72,72,43,71,32,38,32,50,58,18,47,36,26,44,29,32,23,45,41,63,47,48,54,36,31,39,39,33,51,28,52,33,30,41,32,30,56,33,62,28,30,29,31,34,53,35,32,61,50,39,32,45,43,28,24,27,30,28,33,42,24,43,68,40,32,26,55,58,23,78,69,69,38,44,55,32,28,37,33,29,36,32,29,43,51,45,44,45,41,33,37,45,44,36,54,59,55,54,37,55,58,57,54,34,30,47,40,53,42,51,40,32,39,53,45,39,40,56,35,43,37,51,48,36,50,61,49,41,54,41,40,31,49,51,49,32,49,50,50,59,49,50,52,54,56,31,30,30,29,30,41,58,64,57,40,47,61,63,48,37,49,70,37,64,65,38,41,67,60,34,32,42,40,51,55,35,53,46,42,36,36,37,26,29,22,24,38,61,47,51,40,68,46,36,40,67,45,37,35,35,37,48,33,25,36,32,33,71,35,47,28,48,36,37,38,36,38,34,67,31,49,41,37,26,37,36,38,63,51,36,30,31,31,32,61,39,41,46,36,47,31,54,78,68,38,62,42,35,37,41,48,52,36,44
CA0076,57,45,39,52,60,64,54,49,47,80,70,43,42,41,41,35,50,68,61,40,59,40,44,0,21,57,51,55,64,84,84,55,83,44,52,46,36,70,32,59,48,40,56,43,44,37,57,53,75,59,60,66,48,45,51,51,45,63,36,64,47,44,53,44,44,68,45,74,42,44,41,43,46,65,47,44,73,62,51,46,57,55,40,38,39,42,40,45,54,36,55,80,52,44,38,67,70,35,90,81,81,50,56,67,44,40,49,45,41,48,44,41,55,63,57,56,57,53,45,49,57,56,50,66,71,67,66,49,67,70,69,66,46,44,59,52,65,54,63,52,44,51,65,57,51,52,68,47,55,49,63,60,48,62,73,61,53,66,53,52,45,61,63,61,44,61,62,62,71,61,62,64,66,68,45,44,44,43,44,53,70,76,69,52,59,73,75,60,49,61,82,49,76,77,50,53,79,72,46,44,54,52,63,67,47,65,58,54,48,48,49,40,43,36,38,52,73,59,63,52,80,58,48,52,79,57,49,47,47,49,60,45,37,48,44,47,83,47,59,40,60,48,49,50,50,50,48,79,45,61,53,49,40,49,48,50,75,63,50,42,43,43,44,73,51,53,58,48,59,43,66,90,80,50,74,54,47,49,53,60,64,48,56
CA0077,48,36,30,43,51,55,45,40,38,71,61,34,33,32,32,26,41,59,52,31,50,31,35,21,0,48,42,46,55,75,75,46,74,35,43,37,23,61,23,50,39,31,47,34,35,28,48,44,66,50,51,57,39,36,42,42,36,54,27,55,38,35,44,35,35,59,36,65,33,35,32,34,37,56,38,35,64,53,42,37,48,46,31,29,30,33,31,36,45,27,46,71,43,35,29,58,61,26,81,72,72,41,47,58,35,31,40,36,32,39,35,32,46,54,48,47,48,44,36,40,48,47,41,57,62,58,57,40,58,61,60,57,37,35,50,43,56,45,54,43,35,42,56,48,42,43,59,38,46,40,54,51,39,53,64,52,44,57,44,43,36,52,54,52,35,52,53,53,62,52,53,55,57,59,36,35,35,34,35,44,61,67,60,43,50,64,66,51,40,52,73,40,67,68,41,44,70,63,37,35,45,43,54,58,38,56,49,45,39,39,40,31,34,27,29,43,64,50,54,43,71,49,39,43,70,48,40,38,38,40,51,36,28,39,35,38,74,38,50,31,51,39,40,41,41,41,39,70,36,52,44,40,31,40,39,41,66,54,41,33,34,34,35,64,42,44,49,39,50,34,57,81,71,41,65,45,38,40,44,51,55,39,47
CA0100,58,46,40,53,61,65,55,50,48,81,71,44,43,42,32,46,51,69,62,41,60,41,45,57,48,0,26,56,65,85,85,20,84,45,53,47,63,71,33,60,29,41,57,44,45,38,58,54,76,60,17,67,37,46,52,52,46,64,41,65,48,45,54,31,45,69,46,75,43,45,42,44,47,66,48,45,74,63,52,47,58,56,41,39,40,43,41,46,55,37,56,81,53,45,39,68,71,36,91,82,82,51,21,68,45,41,50,46,42,49,45,42,56,64,58,57,32,54,46,50,58,57,51,67,72,68,67,50,68,71,70,67,47,45,60,27,66,55,64,53,45,52,66,58,52,53,69,48,56,50,64,61,49,63,74,62,54,67,54,53,46,62,64,62,45,62,63,63,72,62,63,65,67,69,46,45,45,44,45,54,71,77,70,53,60,74,76,61,50,62,83,50,77,78,51,54,80,73,47,45,55,53,64,68,48,66,59,55,49,49,50,41,44,37,39,53,74,60,64,53,81,59,49,53,80,58,50,48,48,50,61,46,38,49,45,48,84,48,60,41,61,49,50,51,51,51,49,80,46,62,54,50,41,50,49,51,76,64,51,43,44,44,45,74,52,54,59,49,60,44,67,91,81,51,75,55,48,50,54,61,65,49,57
CA0101,52,40,34,47,55,59,49,44,42,75,65,38,37,36,26,40,45,63,56,35,54,35,39,51,42,26,0,50,59,77,77,24,78,39,47,41,57,65,27,54,23,35,51,38,39,32,52,48,70,54,29,61,31,40,46,46,40,58,35,59,42,39,48,25,39,63,40,69,37,39,36,38,41,60,42,39,68,57,46,41,52,50,35,33,34,37,35,40,49,31,50,75,47,39,33,62,65,30,85,76,76,45,25,62,39,35,44,40,36,43,39,36,50,58,52,51,26,48,40,44,52,51,45,61,66,62,61,44,62,65,64,61,41,39,54,21,60,49,58,47,39,46,60,52,46,47,63,42,50,44,58,55,43,57,68,56,48,61,48,47,40,56,58,56,39,56,57,57,66,56,57,59,61,63,40,39,39,38,39,48,65,71,64,47,54,68,70,55,44,56,77,44,71,72,45,48,74,67,41,39,49,47,58,62,42,60,53,49,43,43,44,35,38,31,33,47,68,54,58,47,75,53,43,47,74,52,44,42,42,44,55,40,32,43,39,42,78,42,54,35,55,43,44,45,45,45,43,74,40,56,48,44,35,44,43,45,70,58,45,37,38,38,39,68,46,48,53,43,52,38,61,85,75,45,69,49,42,44,48,55,59,43,51
CA0102,56,44,38,51,59,63,53,48,46,79,69,42,41,40,40,44,49,67,60,39,58,39,43,55,46,56,50,0,63,83,83,54,82,43,51,45,61,69,31,58,47,39,55,42,43,36,56,52,74,58,59,65,47,44,50,50,44,62,39,63,46,43,52,43,43,67,44,73,41,43,40,42,45,64,46,43,72,61,50,45,56,54,39,37,38,41,39,44,53,35,54,79,51,43,37,66,69,34,89,80,80,49,55,66,43,39,48,44,40,47,43,40,54,62,56,55,56,52,44,48,56,55,49,65,70,66,65,48,66,69,68,65,45,43,58,51,64,53,62,51,43,50,64,56,50,51,67,46,54,48,62,59,47,61,72,60,52,65,52,51,44,60,62,60,43,60,61,61,70,60,61,63,65,67,44,43,43,42,43,52,69,75,68,51,58,72,74,59,48,60,81,48,75,76,49,52,78,71,45,43,53,51,62,66,46,64,57,53,47,47,48,39,42,35,37,51,72,58,62,51,79,57,47,51,78,56,48,46,46,48,59,44,36,47,43,46,82,46,58,39,59,47,48,49,49,49,47,78,44,60,52,48,39,48,47,49,74,62,49,41,42,42,43,72,50,52,57,47,58,42,65,89,79,49,73,53,46,48,52,59,63,47,55
CA0103,65,53,45,60,68,72,62,57,55,88,78,49,50,49,49,53,58,76,69,48,67,48,50,64,55,65,59,63,0,92,92,63,91,52,58,52,70,78,38,67,56,46,64,49,52,43,65,61,83,67,68,74,56,51,59,59,53,71,48,72,53,50,61,52,50,76,53,82,48,50,49,51,54,73,55,52,81,70,59,52,65,63,48,44,47,50,48,53,62,44,63,88,60,52,46,75,78,43,98,89,89,58,64,75,52,48,57,53,49,56,52,49,63,71,65,64,65,61,53,57,65,64,56,74,79,75,74,57,75,78,77,74,54,50,67,60,73,62,71,60,52,59,73,65,59,60,76,55,63,57,71,68,56,70,81,69,61,74,61,60,51,69,71,69,52,69,70,70,79,69,70,72,74,76,51,50,50,49,50,61,78,84,77,60,67,81,83,68,57,69,90,57,84,85,58,61,87,80,54,52,62,60,71,75,55,73,66,62,56,56,57,46,49,42,44,58,81,67,71,60,88,66,56,60,87,65,57,55,55,57,68,51,45,56,52,53,91,55,67,48,68,56,57,58,56,58,54,87,51,69,61,57,46,57,56,58,83,71,56,50,51,51,52,81,59,61,66,56,67,51,74,98,88,58,82,62,55,57,61,68,72,56,64
CA0115,77,65,67,74,82,86,76,71,67,100,76,71,62,61,69,73,70,88,81,62,79,60,72,84,75,85,77,83,92,0,0,83,37,64,80,74,90,90,60,79,76,68,76,71,66,65,79,73,93,77,88,86,76,73,73,73,65,91,68,82,75,72,73,72,72,88,65,30,70,72,61,71,64,85,69,66,95,82,71,74,77,75,62,66,61,62,62,65,74,58,75,22,70,64,60,89,92,57,110,87,23,70,84,89,66,62,69,65,63,68,64,61,75,85,79,78,85,73,67,69,77,76,78,86,93,87,86,69,87,90,91,88,74,72,81,80,85,76,83,72,66,71,85,77,71,70,74,67,75,69,83,80,68,82,93,81,75,88,75,74,73,81,83,81,66,81,80,80,89,79,90,82,86,88,73,72,72,71,72,75,92,98,91,74,77,95,97,80,71,81,104,69,98,99,70,75,101,94,68,66,74,72,83,87,69,85,78,74,68,68,71,68,71,64,66,80,95,79,83,74,100,80,70,74,99,79,69,69,69,69,82,65,57,70,64,75,103,69,79,62,82,70,71,72,78,70,76,101,73,81,75,69,68,69,70,70,95,83,78,64,63,63,64,95,71,73,80,68,77,63,86,110,86,70,96,74,69,69,75,82,84,68,76
CA0117,77,65,67,74,82,86,76,71,67,100,76,71,62,61,69,73,70,88,81,62,79,60,72,84,75,85,77,83,92,0,0,83,37,64,80,74,90,90,60,79,76,68,76,71,66,65,79,73,93,77,88,86,76,73,73,73,65,91,68,82,75,72,73,72,72,88,65,30,70,72,61,71,64,85,69,66,95,82,71,74,77,75,62,66,61,62,62,65,74,58,75,22,70,64,60,89,92,57,110,87,23,70,84,89,66,62,69,65,63,68,64,61,75,85,79,78,85,73,67,69,77,76,78,86,93,87,86,69,87,90,91,88,74,72,81,80,85,76,83,72,66,71,85,77,71,70,74,67,75,69,83,80,68,82,93,81,75,88,75,74,73,81,83,81,66,81,80,80,89,79,90,82,86,88,73,72,72,71,72,75,92,98,91,74,77,95,97,80,71,81,104,69,98,99,70,75,101,94,68,66,74,72,83,87,69,85,78,74,68,68,71,68,71,64,66,80,95,79,83,74,100,80,70,74,99,79,69,69,69,69,82,65,57,70,64,75,103,69,79,62,82,70,71,72,78,70,76,101,73,81,75,69,68,69,70,70,95,83,78,64,63,63,64,95,71,73,80,68,77,63,86,110,86,70,96,74,69,69,75,82,84,68,76
CA0122,56,44,38,51,59,63,53,48,46,79,69,42,41,40,30,44,49,67,60,39,58,39,43,55,46,20,24,54,63,83,83,0,82,43,51,45,61,69,31,58,27,39,55,42,43,36,56,52,74,58,23,65,35,44,50,50,44,62,39,63,46,43,52,29,43,67,44,73,41,43,40,42,45,64,46,43,72,61,50,45,56,54,39,37,38,41,39,44,53,35,54,79,51,43,37,66,69,34,89,80,80,49,9,66,43,39,48,44,40,47,43,40,54,62,56,55,30,52,44,48,56,55,49,65,70,66,65,48,66,69,68,65,45,43,58,25,64,53,62,51,43,50,64,56,50,51,67,46,54,48,60,59,47,61,72,60,52,65,52,51,44,60,62,60,43,60,61,61,70,60,61,63,65,67,44,43,43,42,43,52,69,75,68,51,58,72,74,59,48,60,81,48,75,76,49,52,78,71,45,43,53,51,62,66,46,64,57,53,47,47,48,39,42,35,37,51,72,58,62,51,79,57,47,51,78,56,48,46,46,48,59,44,36,47,43,46,82,46,58,39,59,47,48,49,49,49,47,78,44,60,52,48,39,48,47,49,74,62,49,41,42,42,43,72,50,52,57,47,58,42,65,89,79,49,73,53,46,48,52,59,63,47,55
